wrkstat,age
"With a job, but not at work because of temporary illness, vacation, strike",62
Working full time,77
Retired,87
"Unemployed, laid off, looking for work",28
Working full time,24
Working full time,30
Retired,63
Keeping house,59
Working full time,62
Working full time,38
Keeping house,74
Working full time,44
Working full time,30
Working part time,45
Retired,65
"Unemployed, laid off, looking for work",24
Working full time,36
Working part time,34
Retired,81
Working part time,32
"With a job, but not at work because of temporary illness, vacation, strike",24
Retired,83
Retired,73
Keeping house,65
Working full time,52
Working part time,18
Working part time,67
Working full time,58
Keeping house,70
Retired,66
Working full time,24
Working full time,45
Keeping house,22
Retired,71
Keeping house,57
,
Keeping house,49
Other,60
,
Working full time,60
Working part time,61
Working full time,27
Keeping house,75
Working full time,30
Working full time,25
Working full time,52
Working part time,60
Working full time,24
Retired,67
Working full time,28
Keeping house,20
Keeping house,29
"With a job, but not at work because of temporary illness, vacation, strike",35
Working full time,40
Working part time,50
Working full time,29
Retired,60
Working part time,29
Working part time,59
Keeping house,38
Working full time,53
Retired,70
Working full time,44
Working full time,32
Working full time,61
Working full time,27
Working part time,26
Working full time,24
Working full time,33
Working full time,26
Working full time,47
Retired,69
Working full time,52
Retired,63
Working part time,68
Working full time,29
Working part time,50
Working part time,64
In school,19
Working full time,36
Working full time,41
Working full time,32
Working part time,37
Working part time,25
Working part time,20
Working part time,22
In school,20
Working part time,20
Working part time,21
In school,21
Keeping house,63
Working full time,43
Working part time,62
Working full time,48
Working part time,49
Working full time,48
Working part time,19
Other,70
Working full time,42
Working full time,36
Working full time,30
Working part time,32
Working full time,36
Other,38
Working full time,58
Keeping house,47
Working full time,55
Retired,72
Working full time,31
"With a job, but not at work because of temporary illness, vacation, strike",45
Working part time,45
Retired,85
Working full time,48
Working full time,50
Working full time,50
Working full time,51
Working full time,48
Working full time,45
Working full time,39
Working full time,38
Retired,64
Working full time,43
Working part time,34
Retired,72
Keeping house,66
Retired,85
Working full time,28
,
Working full time,45
Keeping house,77
Working full time,47
Working full time,41
Working part time,66
Working full time,37
Keeping house,71
Working full time,35
Retired,73
Keeping house,40
Working full time,42
Working full time,37
Working full time,57
Retired,85
Working full time,39
Working full time,33
Working full time,30
Working full time,56
Working full time,43
Working full time,26
Working full time,52
"Unemployed, laid off, looking for work",38
Retired,85
Keeping house,60
Working full time,51
"With a job, but not at work because of temporary illness, vacation, strike",44
Working full time,43
Working part time,39
Working part time,22
"With a job, but not at work because of temporary illness, vacation, strike",38
Working full time,33
Working full time,27
Working full time,61
Working full time,44
Working full time,50
Working full time,55
Retired,73
Working full time,43
Keeping house,24
Working part time,49
Keeping house,31
Working full time,35
Working part time,25
Working full time,46
Retired,67
Retired,73
Retired,82
Retired,64
Keeping house,35
Working full time,24
Working full time,55
Retired,69
Working full time,28
Keeping house,80
Working full time,27
Working full time,38
Keeping house,35
Working part time,32
Working part time,67
Working part time,69
Working full time,55
Working full time,40
Retired,81
Working full time,56
In school,19
In school,25
Working full time,27
.n:  No answer,18
Working full time,35
Working full time,51
Keeping house,19
Working full time,50
Working full time,53
"Unemployed, laid off, looking for work",53
Retired,67
Working full time,40
Keeping house,59
Keeping house,54
Working full time,55
"Unemployed, laid off, looking for work",29
Retired,66
Retired,77
Keeping house,43
Working full time,59
Working full time,44
Working full time,42
Working full time,43
Keeping house,49
Working full time,38
Keeping house,19
Working full time,57
Other,63
Keeping house,25
"Unemployed, laid off, looking for work",53
"Unemployed, laid off, looking for work",38
Working part time,41
"Unemployed, laid off, looking for work",51
Keeping house,60
Working full time,35
Working full time,38
Working full time,49
Retired,76
Keeping house,68
Working full time,23
"Unemployed, laid off, looking for work",57
In school,20
"Unemployed, laid off, looking for work",21
Working part time,33
"Unemployed, laid off, looking for work",44
Working full time,50
"With a job, but not at work because of temporary illness, vacation, strike",51
Working full time,36
