wrkslf,age
Someone else,62
Someone else,77
Someone else,87
Someone else,28
Self-employed,24
Someone else,30
Someone else,63
Someone else,59
Someone else,62
Someone else,38
Someone else,74
Someone else,44
Someone else,30
Someone else,45
Someone else,65
Someone else,24
Someone else,36
Someone else,34
Someone else,81
Someone else,32
Someone else,24
Someone else,83
Someone else,73
Someone else,65
Someone else,52
Someone else,18
Someone else,67
Someone else,58
Someone else,70
Someone else,66
Someone else,24
Someone else,45
.i:  Inapplicable,22
Someone else,71
Someone else,57
,
Self-employed,49
Someone else,60
,
.n:  No answer,60
Someone else,61
Someone else,27
Someone else,75
Someone else,30
Someone else,25
Self-employed,52
Self-employed,60
Someone else,24
Someone else,67
Someone else,28
.i:  Inapplicable,20
Someone else,29
Someone else,35
Someone else,40
Someone else,50
Someone else,29
Someone else,60
Someone else,29
Self-employed,59
Someone else,38
Self-employed,53
Someone else,70
Someone else,44
Someone else,32
Self-employed,61
Someone else,27
Self-employed,26
Someone else,24
Someone else,33
Someone else,26
Someone else,47
Someone else,69
Someone else,52
Someone else,63
Someone else,68
Self-employed,29
Someone else,50
Self-employed,64
.i:  Inapplicable,19
Someone else,36
Someone else,41
Self-employed,32
Self-employed,37
Someone else,25
Someone else,20
Someone else,22
Someone else,20
Someone else,20
Someone else,21
Someone else,21
Someone else,63
Someone else,43
Someone else,62
Someone else,48
Someone else,49
Someone else,48
Someone else,19
.n:  No answer,70
Self-employed,42
Someone else,36
Someone else,30
Someone else,32
.n:  No answer,36
Someone else,38
Someone else,58
Someone else,47
Someone else,55
Someone else,72
Self-employed,31
Someone else,45
Someone else,45
Someone else,85
Someone else,48
Someone else,50
Self-employed,50
Someone else,51
Someone else,48
Someone else,45
Self-employed,39
Self-employed,38
Someone else,64
Someone else,43
Someone else,34
Someone else,72
Someone else,66
Someone else,85
Someone else,28
,
Self-employed,45
Someone else,77
Someone else,47
Someone else,41
Someone else,66
Someone else,37
.i:  Inapplicable,71
Someone else,35
Someone else,73
Someone else,40
Self-employed,42
Someone else,37
Someone else,57
Someone else,85
Someone else,39
Someone else,33
Someone else,30
Someone else,56
Self-employed,43
.n:  No answer,26
Someone else,52
Someone else,38
Someone else,85
Someone else,60
Someone else,51
Someone else,44
Self-employed,43
Someone else,39
Someone else,22
Someone else,38
Self-employed,33
Someone else,27
Someone else,61
Someone else,44
Someone else,50
Someone else,55
Someone else,73
Someone else,43
Someone else,24
Someone else,49
Someone else,31
Someone else,35
Someone else,25
Someone else,46
Someone else,67
Someone else,73
Someone else,82
Someone else,64
Someone else,35
Someone else,24
Self-employed,55
Someone else,69
Someone else,28
Someone else,80
Someone else,27
Someone else,38
Someone else,35
Self-employed,32
Someone else,67
Self-employed,69
Someone else,55
Someone else,40
Someone else,81
Someone else,56
Someone else,19
Someone else,25
Someone else,27
.n:  No answer,18
Someone else,35
Someone else,51
.i:  Inapplicable,19
Someone else,50
Self-employed,53
Self-employed,53
Someone else,67
Someone else,40
Someone else,59
.i:  Inapplicable,54
Someone else,55
Someone else,29
Someone else,66
Someone else,77
Someone else,43
Someone else,59
Someone else,44
Self-employed,42
Someone else,43
Self-employed,49
Someone else,38
.i:  Inapplicable,19
Someone else,57
Someone else,63
Someone else,25
Someone else,53
Someone else,38
Someone else,41
Someone else,51
Someone else,60
Someone else,35
Someone else,38
Someone else,49
Someone else,76
Someone else,68
Someone else,23
Someone else,57
Someone else,20
Self-employed,21
Someone else,33
Someone else,44
Someone else,50
Someone else,51
Someone else,36
